Material;Texto breve material;Utilização livre
1178272;PINO DE CISALHA RWPR-10428-001 BUHLER;10
1178273;ROLAMENTO DE ROLOS UXN-56019-131 BUHLER;1
1178274;ANEL DE SUPORTE RWPR-10037-010 BUHLER;1
1178275;RASPADOR RWPR-10523-001 BUHLER;1
1178276;CHAPA DE DESVIO RWPR-80042-810 BUHLER;1
1178277;EIXO EXCENTRICO RWPR-10541-001 BUHLER;2
1178278;TAMPA DO MANCAL RWPR-40000-010 BUHLER;4
1178279;CHAVETA PARALELA RWPR-50005-010 BUHLER;2
1178280;VEDACAO HASTE UNN-44058-139       BUHLER;2
1178281;VEDACAO HASTE UNN-44058-077       BUHLER;2
1178282;ANEL GUIA UNN-44033-382           BUHLER;4
1178283;ANEL RASPADOR UXN-44004-405       BUHLER;10
1178284;DISPOSITIVO RASPAGEM UNN-44029-430 BUHLE;2
1178285;VEDACAO HASTE UNN-44058-121       BUHLER;2
1178286;VEDACAO HASTE UNN-44058-070       BUHLER;10
1178287;ANEL GUIA UNN-44033-367           BUHLER;4
1178288;ANEL TORICO UNN-44020-270         BUHLER;2
1178289;CORREIA TRAPEZIONAL DUPLA UXN-64013-056;2
1178290;CHAVETA PARALELA RWPR-50004-010 BUHLER;2
1178291;ANEL ESPACADOR RWPR-10480-001 BUHLER;2
1178292;ROLAMENTO DE ROLETE UNN-56010-021 BUHLER;6
1178293;ANEL ESPACADOR RWPR-10481-001 BUHLER;2
1178294;PORCA DE EIXO RWPR-50009-010 BUHLER;2
1178295;ANEL DE VEDACAO RWPR-84017-810 BUHLER;4
1178296;ANEL DE RETENCAO UNN-14028-148 BUHLER;4
1178297;PORTA LAMINA RWPR-10502-001 BUHLER;2
1178298;CORREIA TRAPEZOIDAL UXN-64019-604 BUHLER;21
1178299;CHAPA DE DESVIO OLFB-11919-001 BUHLER;3
1178300;CHAPA DE DESVIO OLFB-11916-001 BUHLER;3
1178301;CONJ DE LAMINAS OLFB-11844-001 BUHLER;16
1178302;PA DE MISTURA DOQB-84002-820 BUHLER;46
1178303;PA DE MISTURA ALIM DOQB-84030-810 BUHLER;2
1178304;ROLAMENTO DE ROLOS UVN-56010-062 BUHLER;4
1178305;ANEL EM V UNN-44031-022 BUHLER;4
1178306;ARRUELA DE TRAVA UNN-14023-031 BUHLER;4
1178307;PORCA DE EIXO KM-36 UNN-12026-031 BUHLER;4
1178308;VARAO ROSCADO BCFA-40036-010 BUHLER;1
1178320;CHAPA BCFA-50064-010 BUHLER;1
1178321;INDICADOR DE POS UNN-3006-116 BUHLER;1
1178322;PINO ELASTICO UNN-18000-045 BUHLER;1
1178330;ABRACADEIRA NYLON 151X3,7MM VERM FRONTEC;335
1178547;ANEL DE BLOQUEIO FRB 13/230          SKF;2
1178553;ANEL DE BLOQUEIO FRB 15/250          SKF;3
1178559;BUCHA DE FIXACAO H 3126              SKF;2
1178562;BUCHA DE FIXACAO H 3128 SKF;2
1179880;LACRE CAIXA DE METAL CADEADO 30CM;6.000
1180083;CABO COBRE SUPERASTIC FLEX 1MM PT 750V;568
1180084;CABO COBRE SUPERASTIC FLEX 1MM AZ 750V;582
1180085;CABO COBRE SUPERASTIC FLEX 1MM BR 750V;570
1180086;CABO COBRE SUPERAST FLEX 2,5MM 750V VERM;300
1180087;CABO COBRE SUPERAS FLEX 2,5MM 750V VE/AM;287
1180088;CABO COBRE SUPERASTIC FLEX 2,5MM 750V AM;300
1180248;SELO MECANICO 65MM RCXC1-11C4VS4-6;1
1180310;CABO COBRE SUPERAS FLEX 2,5MM 750V AZ;293
1180312;CABO COBRE SUPERAS FLEX 2,5MM 750V BR;300
1180317;CABO COBRE SUPERAS FLEX 4MM 750V PRETO;248
1180318;CABO COBRE SUPERAS FLEX 4MM 750V VERM;300
1180319;CABO COBRE SUPERAST FLEX 4MM 750V VE/AM;296
1180320;CABO COBRE SUPERASTIC FLEX 6MM 750V PT;385
1180321;CABO COBRE SUPERASTIC FLEX 6MM 750V AZ;400
1180322;CABO COBRE SUPERASTIC FLEX 6MM 750V VM;400
1180323;CABO COBRE SUPERAST FLEX 6MM 750V VE/AM;390
1180324;CABO COBRE CORDPLAST 2X1MM 500V PRETO;290
1180325;CABO COBRE CORDPLAST 3X1MM 500V PRETO;904
1180326;CABO COBRE SINTENAX FLEX 3X1MM 500V BPA;1.760
1180329;CABO COBRE G7 SUPER EASY 3X2,5MM 1KV;53
1180331;CABO COBRE G7 SUPER EASY 4X2,5MM 1KV;71
1180332;CABO COBRE G7 SUPER EASY 4X4MM 1KV;200
1180334;CABO COBRE G7 SUPER EASY 4X6MM 1KV;1.000
1180336;CABO COBRE G7 SUPER EASY 4X10MM 1KV;350
1180387;SELO MECANICO 55MM RCXC1-11C4VS4-6;4
1180389;SELO MECANICO 45MM RCXC1-11C4VS4-6;2
1180426;SELO MECANICO 55MM RCXC1-11A4VS4-6;1
1180428;SELO MECANICO 35MM RCXC1-11C4VS4-6;1
1180430;SELO MECANICO 80MM RCXC1-11C4VS4-6;2
1180432;SELO MECANICO 35MM RCXC1-11A4VS4-6;2
1180434;SELO MECANICO 35MM RCXC1-11S4VS4-6;1
1180435;SELO MECANICO 45MM RCXC1-11S4VS4-6;2
1180676;PARAFUSO ALLEN CABECA CILINDRICA 8X50MM;94
1180869;MODULO COMUNICACAO 3RW5980-0CS0 SIEMENS;5
1180891;"ADAPTADOR SOQU FEM 3/4"" MACH 1/2"" COBRE-";1
1180918;TRANSCEPTOR MULTIMODO 6GK5991-1AD00-8AA0;2
1181148;"CHAVE ESTR DE BATER 1.1/4"" COBRE-BERILIO";1
1181167;CHAVE FIXA BATER 46MMX240MM COBRE-BERILI;1
1181169;CHAVE FIXA BATER 65MMX335MM COBRE-BERILI;1
1181174;"CHAVE FIXA DE BATER 15/16""X150MM COBRE-B";1
1181179;CHAVE FIXA BATER 30MMX180MM COBRE-BERILI;1
1181200;CHAVE FIXA BATER 32MMX189MM COBRE-BERILI;1
1181211;"CHAVE FIXA BATER 3/4""X125MM COBRE-BERILI";1
1181212;CHAVE FIXA BATER 75MMx375MM COBRE-BERILI;1
1181223;SOQUETE 3/4'' ENC 1/2'' COBRE-BERILIO;1
1181493;ESPUMA HIGIENIZACAO P/ AR CONDICONADO;5
1181494;BACTERICIDA AROMATIZADOR AR CONDICIONADO;1
1181495;CERDA DE ACO P/ VASSOURA BOBCAT 6989019N;26
1181498;CERDA PRETA P/ VASSOURA BOBCAT 6652802N;44
1181620;CONECTOR 2P 0,2A4,0MM 32A-221-2411  WAGO;21
1181621;ACOPLAMENTO 3P+T+N 63A 380V 6H VM IP-67;5
1181755;"CHAVE FIXA DE BATER 11/16""X125MM COBRE-B";1
1181770;"LIMA 12"" COBRE-BERILIO";1
1182241;MANGA FILTRANTE POLI. 500G/M2 145X2000MM;60
1182481;CHAVE DE VALVULA CV1000X1 ALFA OMEGA;2
1182571;BALDE INOX 15L C/ GRADUACAO;10
1183199;MOTOBOMBA TRIFA 380V BHSE650-12    EBARA;1
1183276;MARTELO PENA CB/FIBRA 500G 40730207 TRAM;6
1183284;BROCA P/CONCRETO PT MD 16.00X152MM IW990;2
1183305;BROCA P/CONCRETO PT MD 14.00X152MM IW989;2
1183380;"BROCA ACO RAPIDO HSS A-100 3/4"" DORMER";4
1183418;CAPA PVC A3 PRETO FOSCA TIPO COURO;7
1183515;ELETRODO DE PLASMA 6849060105     VONDER;24
1183609;"ADAPTADOR ELET 3""X1"" 25MM 126881 DUTOTEC";2
1183667;TELA SOLDADA GALV 15X15 FIO 1MM 1,00x30M;1
1183682;TAMPA CANALETA RANHUR  DT1504000 103543;3
1183685;CAIXA DERIVACAO TIPO E DT5264000 125351;2
1183692;CURVA VERT 90° 25 ABS BR 107794 DUTOTEC;3
1183720;TOMADA BR 2P+T 10A 250V DX9923310 128608;10
1183721;TOMADA VM 2P+T 10A 250V DX9923110 129615;5
1183737;INVERSOR 6SL3210-1PE18-0UL1 5,9A SIEMENS;1
1183758;INVERSOR 6SL3210-1PE21-8UL0 13,2A SIEMEN;1
1183759;INVERSOR 26A 6SL3210-1PE23-3UL0 SIEMENS;1
1183784;INVERSOR 205A 6SL3210-1PE32-5UL0 SIEMENS;1
1183785;INVERSOR 570A 6SL3310-1GE37-5AA3 SIEMENS;1
1183800;FUSIVEL NH1 200A 500V 3NA3140    SIEMENS;6
1183802;FUSIVEL NH2 315A 500V 3NA3252    SIEMENS;6
1183803;FUSIVEL NH3 630A 500V 3NA3372    SIEMENS;3
1183804;FUSIVEL NH000 10A 500V 3NA3803   SIEMENS;6
1184152;FUSIVEL NH000 63A 500V 3NA3822 SIEMENS;3
1184153;FUSIVEL NH000 100A 500V 3NA3830 SIEMENS;3
1184154;FUSIVEL NH000 125A 400V 3NA3832 SIEMENS;3
1184156;FUSIVEL NH3 850A 690V 3NE1448-2 SIEMENS;3
1184157;CONTATOR AUX 24VCC 3RH2131-2BB40 SIEMENS;2
1184163;FUSIVEL NH000 32A 500V 3NA3812 SIEMENS;3
1184164;FUSIVEL NH000 50A 500V 3NA3820 SIEMENS;6
1184258;SINALEIRO MONOBLOCO 24V 3SB72137AA201AA0;10
1184510;JUNTA QUIMFLEX PTFE 10X3MMX15M 24BTEADIT;1
1184513;JUNTA QUIMFLEX PTFE 12X4MMX10M 24B TEADI;2
1185102;REFLETOR LED 50W 5000K 7016876 LEDVANCE;10
1185103;FONTE DE ALIMENTACAO VAN-115/230AC-K16;2
1185104;GATEWAY DE INTERFACE AS   VBG-EP1-KE5-D;2
1185208;UNIDADE DE CONTROLE 6SL3244-0BB12-1FA0;2
1185270;KIT REPARO AWE-300-TTYT-M NETZSCH;1
1185271;KIT REPARO SECO AAK-300-A NETZSCH;1
1185334;CPU S7-1500 6ES7517-3AP00-0AB0 SIEMENS;1
1185367;MODULO COMUN 6GK7545-1GX00-0XE0 SIEMENS;1
1185437;SIMOCODE PRO V PN GP 3UF7011-1AB00-2;5
1185452;MODULO MEDICAO CORRENTE 3UF7110-1AA01-0;1
1185511;MODULO MEDICAO CORRENTE 3UF7101-1AA00-0;5
1185513;MODULO MEDICAO CORRENTE 3UF7-102-1AA00-0;3
1185515;CABO SIMOCODE 3UF7932-0AA00-0 SIEMENS;5
1185519;SOFT STARTER 1100A 3RW5556-6HA14 SIEMENS;1
1185525;TINTA AZUL HB S/B RAL 5015 CP.A 1855110;5
1185532;SOFT STARTER 370A 3RW5546-6HA14 SIEMENS;1
1185533;KIT MONTAGEM IP65 3RW5980-0HD00 SIEMENS;3
1185536;SOFT STARTER 93A 3RW5527-1HA14 SIEMENS;2
1185538;DISJUNTOR MOTOR 10,0-16,0A 3RV2011-4AA10;2
1185747;ACIONAMENTO ROTATIVO 3RV2926-1K SIEMENS;2
1185748;CONTATO LATERAL 1NA/NF3RV2901-2A SIEMENS;5
1185750;DESINFETANTE CLEAN BY PEROXY SPARTAN 5L;10
1185751;SABONETE LIQUIDO DEGERMANTE G55215L 5L;1
1185768;SINALEIRO MONO 24V VERD 3SB72136AA401AA0;8
1185780;SINALEIRO MONO 24V AMAR 3SB72136AA301AA0;8
1185786;RELE IMPULSO BIPOLAR 20A 5TT5800-0 SIEME;10
1185787;REATOR SAIDA TRIF 18,5A 6SL32020AE218CA0;1
1185788;REATOR SAIDA 6,1A 6SL32020AE161CA0;2
1185861;MACACAO SEG MICROCHEM 4000 CA 39120;8
1185872;PAINEL OPERACAO 6SL3055-0AA00-4BA0;1
1185873;UNIDADE DE CONTROLE 6SL3040-1MA01-0AA0;1
1185874;TRANSFORMADOR POTENCIAL 4AM4380-0AK20-0N;2
1185876;FONTE SITOP 40A 6EP3337-8SB00-0AY0;2
1185877;FONTE SITOP 10A 6EP3334-8SB00-0AY0;1
1185878;FONTE SITOP 5A 6EP3333-8SB00-0AY0;2
1186294;ANEL DE BLOQUEIO FRB 10/120 SKF;1
1186300;ANEL DE BLOQUEIO FRB 10/280 SKF;1
1186302;ANEL DE BLOQUEIO FRB 10/320 SKF;2
1186320;ANEL DE BLOQUEIO FRB 12,5/130;1
1186348;BUCHA DE FIXACAO HE 315 SKF;1
1186349;BUCHA FIXACAO OH 3144 H SKF;1
1186351;ANEL DE BLOQUEIO FRB 12,5/150 SKF;2
1186352;ANEL DE BLOQUEIO FRB 13,5/200 SKF;2
1186353;ANEL DE BLOQUEIO FRB 16,5/270 SKF;1
1186354;BUCHA DE FIXACAO H 313 SKF;1
1186356;BUCHA DE FIXACAO H 3134 SKF;1
1186357;BUCHA DE FIXACAO H 3138 SKF;2
1186359;BUCHA DE FIXACAO H 317/VU800 SKF;2
1186368;VEDACAO TS 34 150PU  SKF;1
1186381;BUCHA DE FIXACAO OH 3152 H SKF;1
1186382;MANCAL SNL 3134 SKF;1
1186384;MANCAL SNL 3140 SKF;1
1186385;MANCAL SNL 3144 SKF;1
1186387;MANCAL SNL 3152 SKF;1
1186388;MANCAL SNL 513-611 SKF;1
1186389;MANCAL SNL 530 SKF;1
1186400;MANCAL SNL 515-612 SKF;2
1186401;MANCAL SNL 517 VU SKF;4
1186402;MANCAL SNL 522-619 VU SKF;6
1186403;MANCAL SNL 526 VU SKF;4
1186404;MANCAL SNL 528 VU SKF;3
1186405;ROLAMENTO 22213 EK SKF;1
1186406;ROLAMENTO 22215 EK SKF;2
1186407;ROLAMENTO 22217 EK SKF;4
1186408;ROLAMENTO 22228 CCK/W33 SKF;3
1186409;ROLAMENTO 22230 CCK/W33 SKF;1
1186410;ROLAMENTO 23134 CCK/W33 SKF;1
1186411;ROLAMENTO 23138 CCK/W33 SKF;2
1186412;ROLAMENTO 23140 CCK/W33 SKF;1
1186413;ROLAMENTO 23144 CCK/W33 SKF;1
1186414;ROLAMENTO 23148 CCK/W33 SKF;2
1186415;ROLAMENTO 23152 CCK/W33 SKF;1
1186416;ROLAMENTO 22222 EK SKF;4
1186417;ROLAMENTO 22226 EK SKF;4
1186440;VEDACAO TS 38 170PU SKF;1
1186442;VEDACAO TS 40 180PU SKF;1
1186443;VEDACAO TSN 513 L SKF;1
1186444;VEDACAO TSN 515 A SKF;1
1186445;VEDACAO TSN 517 L VU SKF;2
1186446;VEDACAO TSN 522 L VU SKF;4
1186447;VEDACAO TSN 526 L VU SKF;2
1186448;VEDACAO TSN 528 L VU SKF;2
1186449;VEDACAO TSN 530 L VU SKF;1
1186463;MANCAL C/ ROLAMENTO FYTBK 30 TR SKF;10
1186465;MANCAL C/ ROLAMENTO SY50TF SKF;1
1186466;MANCAL C/ ROLAMENTO SY60TF SKF;1
1186470;MANCAL C/ ROLAMENTO SYJ50TF SKF;1
1186471;MANCAL C/ ROLAMENTO SYJ60TF SKF;1
1186472;MANCAL C/ ROLAMENTO SYJ70TF SKF;1
1186626;"JUNTA METALFLEX 913/304 8"" 150LBS TEADIT";16
1186629;"JUNTA METALFLEX 913M/304 6"" 300LBS TEADI";13
1186643;"JUNTA 913M/304 METALFLEX 3/4"" 300LBS";12
1186645;"JUNTA 913M/304 METALFLEX 10"" 150LBS TEAD";10
1186650;"JUNTA 913M/304 METALFLEX 4"" 300LBS TEADI";24
1186660;"JUNTA 913M/304 METALFLEX 4"" 150LBS TEADI";10
1186662;"JUNTA 913M/304 METALFLEX 2"" 150LBS TEADI";18
1186663;"JUNTA 913M/304 METALFLEX 2.1/2"" 150LBS";18
1186665;"JUNTA 913M/304 METALFLEX 12"" 150LBS TEAD";10
1186666;"JUNTA 913M/304 METALFLEX 3"" 150LBS TEADI";22
1186667;"JUNTA 913M/304 METALFLEX 1"" 150LBS TEADI";14
1186668;"JUNTA 913M/304 METALFLEX 6"" 150LBS TEADI";10
1186676;"JUNTA 913/304 METALFLEX 2"" 300LBS TEADIT";10
1186677;"JUNTA 913/304 METALFLEX 1"" 300LBS TEADIT";10
1186678;"JUNTA 913/304 METALFLEX 3"" 300LBS TEADIT";20
1186771;DETERGENTE 5L DA-17 SPARTAN;4
1187007;ANEL DE BLOQUEIO FRB 17/290 SKF;1
1187022;MANCAL SNL 532;1
1187025;ROLAMENTO 22232 CCK/W33;1
1187027;VEDACAO TSN 532 L SKF;1
1187137;"ADAPTADOR IMPACTO 1/2""X3/4"" 44899101";2
1187139;BROCA ANULAR 18X30MM 5310018030 VONDER;2
1187143;BROCA ANULAR 28X30MM 5310028030 VONDER;2
1187144;BROCA ANULAR 32X30MM 5310032030 VONDER;2
1187145;BROCA ANULAR 48X30MM 5310048030 VONDER;2
1187147;BROCA ANULAR 40X30MM 5310040030 VONDER;2
1187148;BROCA ANULAR 50X30MM 5310050030 VONDER;2
1187149;BROCA HP ACO RAPIDO 16MM A00216.0 DORMER;6
1187160;BROCA ANULAR 24X30MM 5310024030 VONDER;2
1187171;BROCA ACO RAPIDO HSS 25MM A10025.0 DORME;2
1187172;"BROCA ACO RAPIDO HSS 7/8"" A1007.8 DORMER";2
1187173;BROCA ANULAR 42X30MM 5310042030 VONDER;2
1187241;CORREIA EM V SPB3070 METRIC;6
1187242;CORREIA EM V XPB-2580 METRIC;3
1187243;CORREIA EM V XPB-2120 METRIC;4
1187248;"RODO ALUM 50CM CABO 1""X1MMX1,40M MAN PT";6
1187304;ELEMENTO OMEGA IMP ES2-RM REGAL REXNORD;1
1187305;ELEMENTO OMEGA IMP ES3-RM REGAL REXNORD;1
1187306;ELEMENTO OMEGA IMP ES4-RM REGAL REXNORD;4
1187307;ELEMENTO OMEGA IMP ES5-RM REGAL REXNORD;2
1187308;ELEMENTO OMEGA IMP ES10-RM REGAL REXNORD;2
1187309;ELEMENTO OMEGA IMP ES-20M REGAL REXNORD;1
1187312;PARAFUSO SEXT 8.8 ZINCADO M8X50 RI;86
1187314;PARAFUSO SEXT 8.8 ZINCADO M10X50 RI;80
1187315;PARAFUSO SEXT 8.8 ZINCADO M12X50 RI;52
1187316;PARAFUSO SEXT 8.8 ZINCADO M16X75 RI;100
1187317;PARAFUSO SEXT 8.8 ZINCADO M18X75 RI;94
1187319;PARAFUSO SEXT 8.8 ZINCADO M22X75 RI;100
1187330;PORCA SEXTAVADA M6 ZINCADO;185
1187331;PORCA SEXTAVADA M8 ZINCADO;134
1187332;PORCA SEXTAVADA M10 ZINCADO;152
1187333;PORCA SEXTAVADA M12 ZINCADO;62
1187334;PORCA SEXTAVADA M16 ZINCADO;198
1187336;PORCA SEXTAVADA M18 ZINCADO;200
1187337;PORCA SEXTAVADA M22 ZINCADO;200
1187340;ELEMENTO OMEGA IMP ES30-M REGAL REXNORD;1
1187341;ELEMENTO OMEGA IMP ES60-M REGAL REXNORD;2
1187342;KIT PARAFUSO OMEGA ES2M REXNORD;1
1187343;KIT PARAFUSO OMEGA ES3M REXNORD;1
1187344;KIT PARAFUSO OMEGA ES4M REXNORD;2
1187345;KIT PARAFUSO OMEGA ES5M REXNORD;1
1187346;KIT PARAFUSO OMEGA ES10M REXNORD;3
1187347;KIT PARAFUSO OMEGA ES20M REXNORD;1
1187348;KIT PARAFUSO OMEGA ES30M REXNORD;1
1187349;KIT PARAFUSO OMEGA ES60M REXNORD;1
1187358;BARRA ROSCADA 6MMX1MT ZINCADA;14
1187359;BARRA ROSCADA 8MMX1MT ZINCADA;8
1187370;BARRA ROSCADA 10MMX1MT ZINCADA;15
1187371;BARRA ROSCADA 12MMX1MT ZINCADA;14
1187372;BARRA ROSCADA 16MMX1MT ZINCADA;14
1187373;BARRA ROSCADA 18MMX1MT ZINCADA;15
1187374;BARRA ROSCADA 22MMX1MT ZINCADA;15
1187380;CUBO OMEGA ES2M-RM REXNORD;2
1187381;CUBO OMEGA ES3M-RM REXNORD;2
1187382;CUBO OMEGA ES4M-RM REXNORD;2
1187383;CUBO OMEGA ES5M-RM REXNORD;2
1187384;CUBO OMEGA ES10M-RM REXNORD;2
1187385;CUBO OMEGA ES20M REXNORD;2
1187386;CUBO OMEGA ES030M REXNORD;2
1187387;CUBO OMEGA IMP ES60M REXNORD;2
1187428;PARAFUSO SEXTAVADO ZINCADO 1/4X2 RI;82
1187440;PARAFUSO SEXTAVADO ZINCADO 3/8X2 RI;60
1187441;PARAFUSO SEXTAVADO ZINCADO 1/2X2 RI;96
1187442;PARAFUSO SEXTAVADO ZINCADO 5/8X2 RI;80
1187443;PARAFUSO SEXTAVADO ZINCADO 3/4X3 RI;100
1187444;PARAFUSO SEXTAVADO ZINCADO 7/8X3 RI;100
1187446;PORCA SEXTAVADA ZINCADO 1/4;82
1187447;PORCA SEXTAVADA ZINCADO 1/2;96
1187448;PORCA SEXTAVADA ZINCADO 5/8;80
1187449;PORCA SEXTAVADA ZINCADO 3/4;100
1187450;PORCA SEXTAVADA ZINCADO 7/8;100
1187451;"PORCA SEXTAVADA ZINCADO 1""";100
1187499;SENSOR INDUTIVO IG511A IFM;30
1187500;SENSOR INDUTIVO IG510A IFM;20
1187515;PORCA SEXTAVADA ZINCADO 3/8;24
1187521;PLACA PTFE SH 2MM 1500MMX1500MM TEADIT;1
1187526;PLACA PTFE SH 3MM 1500MMX1500MM TEADIT;2
1187563;LAMINA SERRA FITA 27X0,9MMX3-4 C/4,46MT;15,380
1187567;OLEO SOLUVEL SEMI SINT 5L ME-I TAPMATIC;6
1187701;"JUNTA CORT PL100 1,5MM 1/2"" 150LBS TEADI";10
1187706;"JUNTA CORT PL100 1,5MM 3/4"" 150LB TEADIT";9
1187709;"JUNTA CORT PL100 1,5MM 1"" 150LBS TEADIT";9
1187711;"JUNTA CORT PL100 1,5MM 1.1/2"" 150LBS";7
1187713;"JUNTA CORT PL100 2MM 2"" 150LBS TEADIT";8
1187715;"JUNTA CORT PL100 2MM 2.1/2"" 150LBS TEADI";10
1187717;"JUNTA CORT PL100 2MM 3"" 150LBS TEADIT";10
1187718;"JUNTA CORT PL100 2MM 3.1/2"" 150LBS TEADI";10
1187719;"JUNTA CORT PL100 2MM 4"" 150LBS TEADIT";10
1187730;"JUNTA CORT PL100 2MM 5"" 150LBS TEADIT";10
1187731;"JUNTA CORT PL100 2MM 6"" 150LBS TEADIT";9
1187732;"JUNTA CORT PL100 2MM 8"" 150LBS TEADIT";10
1187733;"JUNTA CORT PL100 3MM 2"" 150LBS TEADIT";10
1187734;"JUNTA CORT PL100 3MM 2.1/2"" 150LBS TEADI";9
1187735;"JUNTA CORT PL100 3MM 3"" 150LBS TEADIT";7
1187736;JUNTA CORT PL100 3MM 162,1X101,6 150LBS;2
1187737;"JUNTA CORT PL100 3MM 4"" 150LBS TEADIT";8
1187738;"JUNTA CORT PL100 3MM 5"" 150LBS TEADIT";10
1187739;"JUNTA CORT PL100 3MM 6"" 150LBS TEADIT";9
1187750;"JUNTA CORT PL100 3MM 8"" 150LBS TEADIT";10
1187751;"JUNTA CORT PL100 3MM 10"" 150LBS TEADIT";10
1187891;PLACA FLUXO T10M H 316 0.5MM 4F;5
1187895;PLACA TL10P H T316 0.6MM S/F;1
1187896;PLACA L TL10P T316 0.5MM 4F;5
1187899;PLACA FLUXO T6B H 316 0.5MM 4H;5
1187900;PLACA FLUXO T6B L 316 0.5MM 4H;5
1187902;PLACA FLUXO T10M L 316 0.5MM 4F;3
1187903;PLACA TL6B L 316 0.5MM SG 4F;5
1187904;PLACA TL6B H 316 0.5MM SG 4F;5
1187905;PLACA TL6B H T316 0.6MM S/F;1
1187908;PLACA TS20M H T316 0.6MM 0F;1
1187909;PLACA M10M H 316 0.6MM SG 4F;5
1187910;PLACA M10M H 316 0.6MM 0F;1
1187913;ANEL TRANSICAO M10M NBR;2
1187914;COLARINHO PLACA TRANSICAO INOX 10MM;2
1187915;ANEL TRANSICAO TL10P NBRP;1
1188440;"JUNTA 913M/316 GRAFLEX/ 6"" 150LBS TEAD";4
1188543;MISTURADOR ESTATICO MEH 25/6;1
1188548;"PAQUIMETRO 200MM/8"" 0,02MM 530118 MITUTO";1
1188642;"JUNTA 913M/316 GRAFLEX/AC 4""150LBS TEADI";5
1188712;PARAFUSO SEXTAVADO 8.8 M12 1,75X100MA;80
1188778;TELA ONDULADA INOX FIO 3MM AB 15MM;9
1189029;PARAFUSO SEXT ACO 8.8 ZB M12 1,75X130MA;100
1189080;PORCA SEXTAVADA ZB M12 1,75MA;200
1189112;FITA ADESIVA BORR ESPONJ 1/2X1.1/4”X10MT;1.000
1189194;RETENTOR AS 35X52X7MM;11
1189289;"PAQUIMETRO 300MM/12"" 0,05MM 530115 MITUT";1
1189511;ROLAMENTO 24128 CC/W33;3
1189512;ROLAMENTO UC 216 V22;3
1189513;ROLAMENTO 22220 E;3
1189514;RETENTOR 150X180X15 HMS5 RG;3
1189611;BICO CORTE P/TOCHA TPV 66 6849060103;9
1189612;BOCAL PROT P/TOCHA TPV 66 6849060102;3
1189613;ANEL DIFUSOR P/TOCHA TPV 66 6849060104;9
1189614;ESPACADOR P/TOCHA TPV 66 6849060101;4
1189615;CORPO TOCHA TPV 66 6849060107 VONDER;1
1189616;TOCHA PLASMA TPV 66 4M 6848060040 VONDER;1
1190118;ELEMENTO OMEGA E-10M REGAL REXNORD;1
1190119;ELEMENTO OMEGA E-40M REGAL REXNORD;1
1190127;REBOLO COPO RCR UOV-12037-937 BUHLER;15
1190128;REBOLO COPO RCR 152 UOV-12043-819 BUHLER;15
1190142;ELEMENTO OMEGA E-70M REGAL REXNORD;1
1190166;CUBO OMEGA ES-70M REGAL REXNORD;2
1190167;KIT PARAFUSO OMEGA ES-70M REGAL REXNORD;1
1190447;"JG SOQUETE MAG 1/2""A 1/4""5PCS 3039500000";2
1190449;JG ADAPTADOR SOQ 3PCS 3599000303 VONDER;2
1190557;REGUA MEDICAO COM VALVULA 5MT;1
1190561;MANGA PES 450GR 300X400MM BOCAL BAINHA;6
1190566;MANGA RETANGULAR PES 450GR 300X800X400MM;6
1190618;RETENTOR 70X100X10MM 00866 BR SABO;6
1190621;RETENTOR 50X68X9MM BRG 02108 SABO;8
1190622;RETENTOR 60X75,05X8MM BR 00501 SABO;8
1190857;"VALVULA GLOBO C/FLANGE AC 2"" 150LBS";1
1190973;PERFIL BORRAC ESPONJ 25X25 UNR-57744-029;15,400
1190977;FILTRO MANGA 160X3500MM M0384543 SAUR;40
1191093;TELA ACO INOX M7 FIO 0,71 AB 2,92MM;10
1191095;TELA ACO INOX M8 FIO 0,81 AB 2,36MM;10
1191392;BATERIA 12V 105AH 11915874 VOLVO;1
1191409;CORPO ESPIRAL BLOCO 100-065-315 CL30 KSB;1
;;598,000
;;40
;;6
;;1.799,500
;;10
;;69.207,280
