Material;Texto breve material;Utilização livre
420431;"PORCA ACO INOX SEXTAVADA 1/4""";180
420457;"PORCA DE ACO INOX 3/8""";200
421977;"CONDULETE ALUMINIO-LL 3/4"" TAMPA/ROSCA";26
422442;RETENTOR  80X100X10MM BR 00610 SABO;1
424534;DISJ MOTOR 5,5-8A 3RV10 11 SIEMENS;3
424660;ELETRODO DE INOX        6130X2,50MM;5,000
425107;CONTATOR 3RT20 37 1AN20 65A 220V SIEMENS;2
425122;ACOPLAMENTO EXT4P 32A IP67 S-4256W 6H;19
425151;TOMADA 3P 16A 6H AZUL S-3006;20
428145;REBITE DE ALUMINIO  3/16X11/16;1
429335;FUSIVEL DE VIDRO 1A - 20MM;80
429348;FUSIVEL DE VIDRO 2A - 20MM;79
429364;FUSIVEL DE VIDRO 6A - 20MM;29
430971;"BARRA ROSCADA ZINCADA               3/4""";5
431491;"ESPAGUETE TERMO-RETRATIL 19MM=3/4""";14
433321;OLEO MOBILGEAR LUBRIF 600XP 460   MOBIL;1
433334;OLEO MOBILGEAR LUBRIF 600XP 680   MOBIL;3
433966;ABRACADEIRA              DE FERRO OU ACO;2
434168;"CLIP P/CABO DE ACO                  3/8""";30
437479;CURVA ACO INOX-304 SCH-10        90° 1/2;8
440204;"BARRA ACO INOX-ROSCADA              1/2""";5
440288;DISJUNTOR MOTOR 2,8-4A 3RV2011-1EA10;3
441915;PENTE ROSCA;3
442069;ESCOVA DE ACO;1
443230;TOMADA 2P+T 16A 6H AZUL SN-3006;12
446353;FLUIDO CORTE QUIMATIC 1AF1 500ML TAPMATI;7
446606;PARAFUSO ROSCA SOBERBA INOX 5.5X65;199
447443;MANGUEIRA DE POLIURETANO-AZUL   8MM;149
450582;DISJUNTOR MONO 20A 5SX1120-7C SIEMENS;7
451462;CILINDRO C0900327/290+30            SAUR;1
452043;TOMADA MOVEL N4256 380/440V3P+T32A 6H;13
454915;ELETRODO DE FERRO            7018X2,50MM;34,000
474886;TERMINAL TUBULAR SIMPLES 6,00MM2;200
475255;"ARRUELA LISA ZINCADA                3/8""";25
480012;BARRA ACO INOX-ROSCADA               8MM;5
480030;BARRA ACO INOX-ROSCADA              10MM;3
540312;OLEO MOBIL GEAR 600 XP 220           20L;10
540741;OLEO SHELL TELLUS S2 M 68   209L;3
540997;OLEO MOBIL HIDRAULICO AW 68    200L;2
860609;ROLO DE LA  - MINI P/ PINTURA;6
950465;TRILHO DE FIXACAO;2
950629;LOUSA/QUADRO EM FORMICA BRANCA;1
953395;CILINDRO DE GAS;1
954126;GANCHO P/PERFILADO;3
954131;ENGATE RAPIDO;26
956033;SABONETEIRA EM ACO INOX C/FECHADURA;2
956055;PNEU P/CARRINHO DE MAO;4
1001159;ADESIVO PUBLICIDADE;30
1001314;TERMINAL ILHOS TUB SIMPLES 1,5MM PRETO;500
1002031;CADEADO DE PLASTICO PRETO - BRADY;50
1003008;FITA ISOLANTE 19X20MM SCOTCH 33+ 3M;54
1003107;ESTICADOR P/ CABO DE ACO 3/8;10
1003641;ROLO DE PINTURA 23 CM;2
1004241;"TAMPA P/COND.ALUM. 1/2"" 3/4"" P/01 RJ45";9
1004301;THINNER GOL 7300 900ML;6
1006783;TARUGO BRONZE 1.1/4 POL;2
1007893;PARABOLT SEXT 1/2 x 3 POL;50
1008501;"ARRUELA DE ALUMINIO 1""";200
1008672;TINTA SPRAY AZUL 400ML;8
1008674;TINTA SPRAY  PRETO FOSCO   400ML;5
1009323;JUNTA QUIMFLEX PTFE 20X7MMX10M 24B TEADI;1
1009324;JUNTA QUIMFLEX PTFE 17x6,00 mm 10 m 24B;2
1009325;JUNTA QUIMFLEX PTFE 25x10,00 mm 10 m 24B;2
1009389;CORRENTE ASA 60/1 REX;193,500
1009987;ARRUELA LISA 1/4 ZINCADA;58
1010016;PLUG FEMEA 2P+T 10A;4
1010017;PLUG MACHO 2P+T 10A;13
1010022;ELETRODUTO GAL A FOGO PESADO 3/4   3M;7
1010026;ABRACADEIRA D 3/4 COM PARAFUSO;7
1010182;BICO ESGUICHO REG. 4,6MM AZUL HIDROMAR;1
1010359;PERFILADO 38X38MM X 6M GALV FOGO PESADO;2
1010711;EMENDA ASA 60/1;12
1011350;TERMINAL ILHOS SIMPLES 2,50MM;200
1011787;ABRACADEIRA NYLON 140X3,6MM;100
1011794;"CANTONEIRA 1.1/2""X1.1/2""X1/8"" 6M";10
1011801;SELANTE POLIURETANO PU44 CINZA 310 ML;9
1011933;ELEMENTO INTERLIGACAO 3RV C/ 3RT;11
1012245;SACO RAFIA 60X95 RACAO E CONC. 25KG;5.216
1012519;"TARUGO BRONZE  3"" (76,20MM)";2
1012615;"TARUGO BRONZE 5/8""";2
1012905;PARAFUSO LENTILHA 1/4 X 3/4;88
1012949;TERMINAL TIPO ILHOS 25,0MM;50
1012961;TERMINAL TIPO ILHOS 35,0MM;50
1012962;TERMINAL TIPO ILHOS 6,0MM;100
1013563;"ADAPTADOR MACHO 1/2""X1/2""NPT";26
1014595;TERMINAL ILHOS SIMPLES 1,00MM VERMELHO;100
1015191;ELETRODO DE FERRO            7018X 4,0MM;50,000
1015192;ELETRODO DE FERRO            6013X2,00MM;15,000
1015426;CAMISA CRAVAR R1/R2 1/2;22
1015606;EMENDA INT TIPO I PERF 38X38MM GALV A FG;3
1015805;"TARUGO BRONZE 1.3/8""";1
1015851;"TARUGO ALUMINIO 2.1/2""";2,000
1016689;TERMINAL ILHOS 0,75MM;200
1017140;PLUG 3P+T 63A 380/440V;5
1017313;LIMPA CONTATO ELETRICO RADNAQ 300ML;16
1018221;VALVULA DOSADORA COMP P/ SABONETEIRA;3
1019093;GRAXA XHP-222 BLD/20L       MOBILLGREASE;40
1019240;LIXA P/ FERRO NR:40;8
1022921;PLUG MACHO 2P+T 20A;19
1023050;TERMINAL OLHAL 6,00MM 6M;200
1023106;TERMINAL OLHAL 2,6MM M6;200
1023131;TINTA ESMALTE IND AMARELO SEG NATUCOR;8
1023219;CANTONEIRA 1.1/4X1.1/4X1/4 6M;8
1023279;TERMINAL TIPO ILHOS 10-12MM;100
1023404;CHAPA GROSSA ACO CARBONO 1/2X1200X3000;1
1024334;LUVA FEMEA 1/8 X 1/8 NPT;20
1024835;"FERRO REDONDO TREFILADO 1045 2"" 50,80MM";2
1024908;LAMINA SERRA MAN DUPLA 24D IW47506 IRWIN;5
1025356;PLUG 3P T 32A 380V 6H SN-4276 NEG STECK;11
1025457;TERMINAL OLHAL ISOLADO 35MM;50
1025468;TERMINAL OLHAL ISOLADO 16MM;92
1025469;TERMINAL OLHAL ISOLADO 2,5MM;300
1025471;TERMINAL OLHAL  ISOLADO 04MM;100
1025478;TERMINAL OLHAL ISOLADO 50MM;50
1025480;TERMINAL OLHAL ISOLADO 25MM;50
1026049;QUADRO MULTIPLAST 400X300X200MM OPACA;8
1026539;GRAXA KLUBERTEMP GR AR 555 KLUBER 800GR;1
1027563;DISCO DE DESBASTE  115 MM 4. 1/2 P/ ACAB;17
1027607;GRAMPO 106/6CM 056340             ROCAMA;99
1028045;"BARRA ACO INOX-ROSCADA             5/16""";5
1028783;ELETROCALHA ARAMADA 100 X 50MM  D4,50;5
1029218;FUNIL RETO 170 METAL;6
1029941;ABRACADEIRA NYLON 200MMX3,5MM;600
1029942;ABRACADEIRA NYLON 300MMX4,5M;260
1030184;MANGUEIRA TRANCADA 3/4;100
1032338;"TARUGO BRONZE GRAFITADO 7/8""";2
1034986;OLEO MOBIL DTE 10 EXCELL 46 20L;6
1035587;SEMAFORO SLIM 37 LED BIV 2 CORES INCOTEL;1
1036996;"CANTONEIRA 2""x1/8"" LAMINADA";12
1038271;"CANTONEIRA 2""X1/4X3000MM 6M";2
1038380;CHAPA ACO CARBONO 14  2,0MM 3000X1200MM;2
1038746;ESTILETE TRAPE. RETRATIL 10-175  STANLEY;3
1039125;"TARUGO BRONZE 1.3/4""";2
1039854;PLUGUE UNIVERSAL 20A - FEMEA;20
1040093;TERMINAL ILHOS H16/24 16MM AZUL  CONEXEL;100
1040122;"FERRO REDONDO TREFILADO 1045 3"" 76,20MM";2
1042117;"FERRO REDONDO TREFILADO 1045 1"" 25,40MM";2
1044202;"PINCEL PARA PINTURA 2.1/2""         319/6";10
1044211;TINTA ESM BR VERMELHO 3,6L 1A1  53382115;2
1044270;"PINCEL PARA PINTURA 1/2""           396/1";12
1044275;"PINCEL PARA PINTURA  2.1/2""        396/6";20
1044324;BANDEJA P/PINTURA PLAST PT 1,3L   1415P;1
1044348;PAINEL OPERACAO 6SL32550AA004CA1 SIEMENS;5
1044966;FILTRO DE SUCCAO M0281742 SAUR;3
1048675;CANTONEIRA ACO CARBONO 1X3/16;9
1048867;APLICADOR MANUAL APL380 380 ML ANCORA;3
1050339;ACOPLAMENTO AT-105               ANTARES;3
1051144;TERMINAL ILHOS SIMPLES 0,50MM TI-0,5-8;200
1054048;FONTE ALIMEN SITOP 6EP1336-3BA10 SIEMENS;2
1054353;MOLA AEREA PRETA A-530F2 SOPRANO;10
1055378;FONTE ALIMEN.SITOP 24VDC 2,5A 100/240VAC;3
1057164;CORREIA DENT DUPLA UXN-64550-021 BUHLER;2
1057608;ETIQUETA DE BLOQUEIO ET1SF;1.030
1060124;CJ ACOPLAMENTO FLEXIVEL AT-70 ANTARES;2
1060125;CJ ACOPLAMENTO FLEXIVEL AT-90-BP ANTARES;5
1061408;"BARRA ROSCADA ZINCADA               5/8""";5
1061532;VENTILADOR AXIAL S4D450AO1402 450MM;1
1063219;CONEXAO REDUCAO 10X8MM KQ2H08-10A SMC;10
1063249;TRAVA QUEDAS RETRATIL ACO GALV CABO 10M;1
1063438;ROLAMENTO DE ROLOS UXN-56010-058  BUHLER;1
1064340;ADESIVO LOCTITE 601 50ML;12
1067153;PORTA PAPEL HIGIENICO ROLAO 300M SMART;6
1067554;ELETRODO DE FERRO         6013 X 3,25 MM;25,000
1069117;GRAXA KLUBERFOOD     NH1 94-402   180 KG;3
1069575;LANTERNA RAYOVAC SUPER LED BIG        UN;17
1074398;ABRACADEIRA PLASTICA PRETA   536X13,70MM;10
1074933;LIXA D AGUA 3M G-400;1
1075172;OLEO ULTRA COOLANT 8000 HS INGERSOLL 18.;2
1076468;"DISCO DE CORTE 5"" 1.0 - 1.2MM";296
1076469;"DISCO FLAP 4.1/2"" GRAO 40";54
1076470;"DISCO FLAP 4.1/2"" GRAO 60";25
1076472;"DISCO FLAP 4.1/2"" GRAO 120";9
1077545;KIT ABRACADEIRA 3M 14MM SUPRENS;1
1077912;PARABOLT SEXT 1/2 x 4 POL;50
1079218;DISJUNTOR MOTOR 2,2-3,2A 3RV2011-1DA10;2
1079219;DISJ MOTOR 3RV2021 4DA10 18-25A SIEMENS;1
1079278;ARRUELA UNN-14023-029             BUHLER;2
1080627;ACOPLAMENTO FLEXIVEL AT-50 ANTARES;6
1081529;VALVULA ESFERA MONOBL LATAO 1/2;1
1082719;DISJUNTOR BIFASICO 5SL1206-7MB 6A SIEMEN;3
1085291;"TAMPA P/COND.ALU. 1/2"" 3/4"" P/02 TEC.SIM";8
1089019;"TAMPA P/CONDULETE ALUMINIO 3/4"" P/02";8
1090233;"JOGO SOQUETE SEXT 8A32""        44831/422";6
1090543;CONTATOR 3RT2027-1AN20 32A SIEMENS;2
1090549;DISJUNTOR MONO 10A 5SL1110-7MB SIEMENS;9
1090551;DISJUNTOR MONO 6A 5SL1106-7MB SIEMENS;2
1091110;TOMADA SOBREPOR N4206 380/440V3P+T32A 6H;17
1092630;TOMADA E.2P+T 16A220V 6H AZ IP67 N-3046W;19
1092964;CONTATOR 3RT2016-1AN21 9A SIEMENS;5
1094899;BROCA ACO RAPIDO HSS A-100 14M DORMER;5
1096917;"PAQUIMETRO DIGITAL 150MM/6""     MITUTOYO";1
1097986;REBITE ALUMINIO 3.2X10MM;67
1104144;PORTA EQP 3 BLOCOS B DT-64444.10 DUTOTEC;10
1104149;BLOCO PEZZI CEGO B DX 99200.00   DUTOTEC;5
1104211;CANALETA DUPLO C DT1224000 103530 DUTOTE;2
1104522;DISJUNTOR MOTOR 7-10A 3RV2011-1JA10 SIEM;3
1104801;TERMINAL ILHOS DUPLO 6MM AMAR COMP14;300
1106039;DESENGRIPANTE SPRAY WURTH W-MAX 300ML;20
1106422;BORNE RELE LZSRT4A4L24 2NA 24VCC SIEMENS;10
1106768;CURVA HORZ.90° DT3514000 104439  DUTOTEC;3
1107944;DISJUNTOR MOTOR 3RV2021-1EA10    SIEMENS;4
1111320;CONEXAO RAPIDA RETA QS-1/8-6MM;20
1112385;MANGA DE FILTRO UXS-29024-005     BUHLER;61
1112521;BUCHA H3132;1
1116462;PILHA DURACEL ALC PAL AAA   UN;134
1117731;BLOCO AUX 2NA+2NF 3RH2911-1HA22 SIEMENS;2
1118134;PILHA DURACELL ALC PAL AA   UN;124
1118855;JUNTA QUIMFLEX 5x2,00MMx25M 24B TEADIT;2
1120695;TERMINAL OLHAL 4MM AZ 9200170000 CONEXEL;200
1120700;TERMINAL OLHAL 10MM 9200270000   CONEXEL;80
1125063;PLUGUE MACHO 2P 20A BRANCO 57402/107;3
1125353;ROLAMENTO 6309 ZZ C3;10
1125430;CONTATOR 3RT2018-1AN21 16A 220VCA SIEMEN;8
1126996;CONTATO AUX 1NA+1NF 3RV29011E    SIEMENS;5
1127896;DISJUNTOR MINI 3P 25A 5SL13257MB SIEMENS;8
1127898;DISJUNTOR MINI 3P 40A 5SL13407MB SIEMENS;5
